unit_id,domain,concept,difficulty,band,prerequisites,reference_answer,misconception_answer,misconception_description,provenance
SYNTH_managerial_accounting_001,managerial_accounting,synthetic_concept_introductory_001,1,introductory,,SYNTH_ANSWER_000,SYNTH_MISCONCEPTION_000,placeholder error mode 000; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_001,corporate_finance,synthetic_concept_intermediate_001,3,intermediate,,SYNTH_ANSWER_001,SYNTH_MISCONCEPTION_001,placeholder error mode 001; no instructional content behind it,synthetic_placeholder
SYNTH_operations_001,operations,synthetic_concept_introductory_001,2,introductory,,SYNTH_ANSWER_002,SYNTH_MISCONCEPTION_002,placeholder error mode 002; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_001,marketing_analytics,synthetic_concept_introductory_001,2,introductory,,SYNTH_ANSWER_003,SYNTH_MISCONCEPTION_003,placeholder error mode 003; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_001,microeconomics,synthetic_concept_introductory_001,1,introductory,,SYNTH_ANSWER_004,SYNTH_MISCONCEPTION_004,placeholder error mode 004; no instructional content behind it,synthetic_placeholder
SYNTH_managerial_accounting_002,managerial_accounting,synthetic_concept_introductory_002,2,introductory,,SYNTH_ANSWER_005,SYNTH_MISCONCEPTION_005,placeholder error mode 005; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_002,corporate_finance,synthetic_concept_intermediate_002,3,intermediate,,SYNTH_ANSWER_006,SYNTH_MISCONCEPTION_006,placeholder error mode 006; no instructional content behind it,synthetic_placeholder
SYNTH_operations_002,operations,synthetic_concept_intermediate_002,3,intermediate,,SYNTH_ANSWER_007,SYNTH_MISCONCEPTION_007,placeholder error mode 007; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_002,marketing_analytics,synthetic_concept_intermediate_002,3,intermediate,,SYNTH_ANSWER_008,SYNTH_MISCONCEPTION_008,placeholder error mode 008; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_002,microeconomics,synthetic_concept_advanced_002,4,advanced,,SYNTH_ANSWER_009,SYNTH_MISCONCEPTION_009,placeholder error mode 009; no instructional content behind it,synthetic_placeholder
SYNTH_managerial_accounting_003,managerial_accounting,synthetic_concept_intermediate_003,3,intermediate,,SYNTH_ANSWER_010,SYNTH_MISCONCEPTION_010,placeholder error mode 010; no instructional content behind it,synthetic_placeholder
SYNTH_corporate_finance_003,corporate_finance,synthetic_concept_introductory_003,2,introductory,,SYNTH_ANSWER_011,SYNTH_MISCONCEPTION_011,placeholder error mode 011; no instructional content behind it,synthetic_placeholder
SYNTH_operations_003,operations,synthetic_concept_introductory_003,2,introductory,,SYNTH_ANSWER_012,SYNTH_MISCONCEPTION_012,placeholder error mode 012; no instructional content behind it,synthetic_placeholder
SYNTH_marketing_analytics_003,marketing_analytics,synthetic_concept_introductory_003,2,introductory,,SYNTH_ANSWER_013,SYNTH_MISCONCEPTION_013,placeholder error mode 013; no instructional content behind it,synthetic_placeholder
SYNTH_microeconomics_003,microeconomics,synthetic_concept_introductory_003,2,introductory,,SYNTH_ANSWER_014,SYNTH_MISCONCEPTION_014,placeholder error mode 014; no instructional content behind it,synthetic_placeholder
